isotype	lat	long	geo	collection_island_Hawaii
ECA2948	22.1332247	-159.6458109	Hawaii	Kauai
ECA2949	22.1321096	-159.6462247	Hawaii	Kauai
ECA2950	22.1321096	-159.6462247	Hawaii	Kauai
ECA2951	22.1329535	-159.6459715	Hawaii	Kauai
ECA3011	19.4401677	-155.3051194	Hawaii	Big Island
ECA2952	22.1324265	-159.651638	Hawaii	Kauai
ECA2956	22.1332207	-159.6512826	Hawaii	Kauai
ECA2960	22.1337201	-159.6507235	Hawaii	Kauai
ECA2963	22.1342581	-159.649639	Hawaii	Kauai
ECA2968	22.1313576	-159.6459345	Hawaii	Kauai
ECA2970	22.1346145	-159.6494417	Hawaii	Kauai
ECA2974	22.1342581	-159.649639	Hawaii	Kauai
ECA2982	22.132495	-159.6516514	Hawaii	Kauai
ECA2988	22.1324614	-159.6516555	Hawaii	Kauai
ECA2993	22.1313183	-159.6459137	Hawaii	Kauai
ECA3005	22.1312732	-159.6459512	Hawaii	Kauai
ECA3006	22.1346683	-159.6493468	Hawaii	Kauai
ECA3012	19.4401677	-155.3051194	Hawaii	Big Island
ECA3025	19.4386191	-155.3027227	Hawaii	Big Island
ECA3027	19.7203636	-155.956006	Hawaii	Big Island
ECA3034	20.0412655	-155.4422675	Hawaii	Big Island
ECA3035	20.04139164	-155.4426198	Hawaii	Big Island
ECA3038	19.1191743	-155.8222554	Hawaii	Big Island
ECA3047	20.0402158	-155.4423307	Hawaii	Big Island
ECA3049	20.0403298	-155.4425299	Hawaii	Big Island
ECA3057	20.0403217	-155.4425418	Hawaii	Big Island
ECA3072	20.0399256	-155.4409973	Hawaii	Big Island
ECA3075	20.0403454	-155.4423538	Hawaii	Big Island
ECA3077	20.0404054	-155.4424572	Hawaii	Big Island
ECA3088	21.32972497	-157.8220388	Hawaii	Oahu
ECA3116	20.0406881	-155.4412395	Hawaii	Big Island
ECA3117	20.039438	-155.4402725	Hawaii	Big Island
ECA3157	19.44149722	-155.3047972	Hawaii	Big Island
ECA3205	20.04032778	-155.4424222	Hawaii	Big Island
ECA3222	19.44003611	-155.3052111	Hawaii	Big Island
ECA3256	19.44003611	-155.3052111	Hawaii	Big Island
ECA347	19.438889	-155.303611	Hawaii	Big Island
ECA3493	20.827027	-156.277115	Hawaii	Maui
ECA3494	20.82625797	-156.277607	Hawaii	Maui
ECA3496	20.727502	-156.30734	Hawaii	Maui
ECA3497	20.727502	-156.30734	Hawaii	Maui
ECA3516	20.04033797	-155.442069	Hawaii	Big Island
ECA3518	19.11182497	-155.823315	Hawaii	Big Island
ECA3524	19.44020797	-155.305039	Hawaii	Big Island
ECA3535	19.12015297	-155.81949	Hawaii	Big Island
ECA3538	19.12078597	-155.81975	Hawaii	Big Island
ECA3601	19.44275278	-155.303625	Hawaii	Big Island
ECA3605	19.72033333	-155.9481722	Hawaii	Big Island
ECA3606	20.04153056	-155.4427	Hawaii	Big Island
ECA363	20.723611	-156.304444	Hawaii	Maui
ECA3634	20.040469	-155.442103	Hawaii	Big Island
ECA3645	20.04107497	-155.444145	Hawaii	Big Island
ECA3654	19.44275997	-155.303226	Hawaii	Big Island
ECA3656	19.44275997	-155.303226	Hawaii	Big Island
ECA3668	20.04164497	-155.442873	Hawaii	Big Island
ECA3671	19.44280797	-155.302694	Hawaii	Big Island
ECA3672	19.44280797	-155.302694	Hawaii	Big Island
ECA3673	19.44280797	-155.302694	Hawaii	Big Island
ECA3678	19.439133	-155.303823	Hawaii	Big Island
ECA3688	20.03997897	-155.441488	Hawaii	Big Island
ECA369	21.175556	-157.006389	Hawaii	Molokai
ECA372	22.121667	-159.664444	Hawaii	Kauai
ECA396	19.449831	-155.235493	Hawaii	Big Island
ECA701	22.123283	-159.656428	Hawaii	Kauai
ECA703	20.038831	-155.438922	Hawaii	Big Island
ECA705	20.038831	-155.438922	Hawaii	Big Island
ECA706	20.038831	-155.438922	Hawaii	Big Island
ECA710	20.039656	-155.438103	Hawaii	Big Island
ECA712	19.423864	-155.222478	Hawaii	Big Island
ECA722	19.423975	-155.222625	Hawaii	Big Island
ECA723	19.424272	-155.221661	Hawaii	Big Island
ECA724	19.439144	-155.303825	Hawaii	Big Island
ECA730	19.423869	-155.222483	Hawaii	Big Island
ECA732	19.115403	-155.81845	Hawaii	Big Island
ECA733	19.115886	-155.818386	Hawaii	Big Island
ECA738	21.13927631	-156.9740559	Hawaii	Molokai
ECA740	20.670022	-156.339189	Hawaii	Maui
ECA741	20.6762	-156.338322	Hawaii	Maui
